Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
LRGUK,flexnonsynmtr,0.0305,146157,2,0.04,793,0.00542752913960317,7.6352,1.8525,31.469
DEFB121,flexnonsynmtr,0.0303,146157,1,0.02,89,0.00060914261465912,33.4827,4.5734,245.134
FNIP2,flexnonsynmtr,0.0301,146157,2,0.04,787,0.00538646334535648,7.6938,1.8667,31.7107
SYDE2,flexnonsynmtr,0.03,146157,2,0.04,786,0.00537961904631537,7.7036,1.8691,31.7513
NHLH1,flexnonsynmtr,0.0297,146157,1,0.02,87,0.000595454016576892,34.2529,4.6774,250.8352
ZBTB7C,flexnonsynmtr,0.0296,146157,2,0.04,781,0.0053453975511098,7.7532,1.8811,31.956
KANK4,flexnonsynmtr,0.0296,146157,2,0.04,780,0.00533855325206869,7.7632,1.8835,31.9973
RPUSD4,flexnonsynmtr,0.0296,146157,2,0.04,781,0.0053453975511098,7.7532,1.8811,31.956
PSMB1,flexnonsynmtr,0.0293,146157,1,0.02,86,0.000588609717535779,34.6514,4.7312,253.7863
PHKG1,flexnonsynmtr,0.0292,146157,2,0.04,775,0.00530433175686312,7.8135,1.8957,32.2052
MMD,flexnonsynmtr,0.029,146157,1,0.02,85,0.000581765418494665,35.0593,4.7863,256.8077
FSCB,flexnonsynmtr,0.0289,146157,2,0.04,770,0.00527011026165755,7.8646,1.9081,32.4158
RXFP2,flexnonsynmtr,0.0287,146157,2,0.04,768,0.00525642166357532,7.8851,1.913,32.5008
MAATS1,flexnonsynmtr,0.0286,146157,2,0.04,766,0.0052427330654931,7.9058,1.9181,32.5863
PCDH15,flexnonsynmtr,0.0285,146157,4,0.08,3383,0.0231542636560877,3.6686,1.3198,10.197
ZNF582,flexnonsynmtr,0.0278,146157,2,0.04,754,0.00516060147699973,8.0323,1.9487,33.1086
GPRIN3,flexnonsynmtr,0.0278,146157,2,0.04,754,0.00516060147699973,8.0323,1.9487,33.1086
SCMH1,flexnonsynmtr,0.0274,146157,2,0.04,748,0.00511953568275305,8.0971,1.9644,33.376
SOCS7,flexnonsynmtr,0.027,146157,2,0.04,743,0.00508531418754748,8.1519,1.9776,33.6022
PSMB2,flexnonsynmtr,0.0267,146157,1,0.02,78,0.000533855325206869,38.2075,5.2108,280.153
IFIT5,flexnonsynmtr,0.0265,146157,2,0.04,735,0.00503055979521857,8.241,1.9992,33.9704
SLCO5A1,flexnonsynmtr,0.0263,146157,2,0.04,732,0.00501002689809523,8.275,2.0075,34.1106
KCNK9,flexnonsynmtr,0.026,146157,1,0.02,76,0.000520166727124641,39.2135,5.3462,287.6229
COL12A1,flexnonsynmtr,0.0259,146157,3,0.06,1857,0.0127098633193481,4.9582,1.5419,15.9444
SLC8A3,flexnonsynmtr,0.0259,146157,2,0.04,726,0.00496896110384855,8.3437,2.0241,34.3945
SI,flexnonsynmtr,0.0255,146157,3,0.06,1846,0.0126345760298959,4.9882,1.5512,16.0408
VSX1,flexnonsynmtr,0.0248,146157,2,0.04,709,0.00485260802014962,8.5448,2.0728,35.2249
USH1G,flexnonsynmtr,0.0247,146157,2,0.04,707,0.00483891942206739,8.5691,2.0787,35.3252
OR6C4,flexnonsynmtr,0.0245,146157,2,0.04,704,0.00481838652494405,8.6058,2.0875,35.4767
ARSB,flexnonsynmtr,0.0245,146157,2,0.04,704,0.00481838652494405,8.6058,2.0875,35.4767
MOB1A,flexnonsynmtr,0.024,146157,1,0.02,70,0.000479100932877959,42.5764,5.7984,312.6288
NPHP1,flexnonsynmtr,0.024,146157,2,0.04,696,0.00476363213261514,8.7052,2.1116,35.8873
ZIM2,flexnonsynmtr,0.0237,146157,2,0.04,692,0.00473625493645068,8.7557,2.1238,36.0961
CASP14,flexnonsynmtr,0.0235,146157,2,0.04,688,0.00470887774028623,8.8069,2.1362,36.3074
HIST1H2AC,flexnonsynmtr,0.023,146157,1,0.02,67,0.000458568035754618,44.4837,6.0544,326.8351
SLK,flexnonsynmtr,0.0229,146157,2,0.04,678,0.00464043474987509,8.9374,2.1678,36.8465
GSTA4,flexnonsynmtr,0.0227,146157,1,0.02,66,0.000451723736713505,45.158,6.1449,331.8617
PCDHB6,flexnonsynmtr,0.0226,146157,2,0.04,674,0.00461305755371064,8.9907,2.1807,37.0666
