Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
TMPRSS6,rec,0.0204980635773138,75,254451,0.370044,-0.0000935581,0.263015484586358,0.113509722352556,0.0405394589042144,0.485491510268501
XKR4,rec,0.0204252020480901,35,254491,0.3909866,-0.00005416522,0.385206812450692,0.166147811671355,0.0595615368713905,0.710852088029994
ZNF17,rec,0.0204513236358358,56,254470,0.1193919,-0.00005908933,0.304482121339826,0.131356796947417,0.0470263058773406,0.561937936802312
HELQ,rec,0.0205564542854319,51,254475,0.4186509,-0.00006401344,0.318798031297934,0.137647437042689,0.049012729176624,0.588583333419244
MT4,rec,0.0205667413557091,1,254525,2.47947,-0.00000492411,2.27624173168673,0.982892918651208,0.349797849342771,4.20268561403068
PHLDA1,rec,0.0205739228446547,41,254485,0.3930711,-0.00007386166,0.355491304592718,0.153511693001117,0.0546124842873604,0.656370124898075
RGS9,rec,0.0205881477050405,1214,253312,-0.10306665,0.0005219557,-0.065474168549821,0.0282768668824492,-0.120896072791741,-0.0100522643079008
TBC1D5,rec,0.0206222183326312,105,254421,-0.130151294048806,0.0000935581,-0.222084818576699,0.0959393986036388,-0.410123478748718,-0.0340461584046798
ZCCHC18,rec,0.0205607185406195,313,254213,0.05783636,-0.00004431699,-0.128837030499098,0.05562984503963,-0.237870041744515,-0.0198040192536813
MOGAT1,rec,0.0206334599873002,8,254518,0.85418461113141,-0.00002954466,0.80434828148334,0.347504773551908,0.123248201921207,1.48544836104547
OR13J1,rec,0.0208573942481274,5,254521,-0.9335313,0.00002462055,-1.01563669224229,0.439561035018609,-1.87716458684794,-0.154108797636644
TMEM64,rec,0.0207709141239646,8,254518,-0.8385472,0.00002954466,-0.803478327161574,0.347504596464267,-1.48457805963666,-0.12237859468649
UGCG,rec,0.0210208073728092,16,254510,0.5273968,-0.00003939288,0.56704673893124,0.245727432990718,0.0854275299347425,1.04866594792774
ZNF320,rec,0.0210837361375293,21,254505,-0.6106817,0.0000443169940968792,-0.494720642180502,0.214490142677373,-0.915115596038683,-0.07432568832232
IGSF21,rec,0.0211713763219814,62,254464,-0.25168625,0.0000393928820484396,-0.287749348744531,0.124840897856175,-0.532434175929352,-0.0430645215597102
SUMF1,rec,0.0212199543578349,10,254516,0.84062611875271,-0.00002954466,0.716146783511006,0.31081920778171,0.106949433541541,1.32534413348047
WDR74,rec,0.0211615981419568,8,254518,-0.8808002,0.00001969644,-0.80103308870166,0.347504228833296,-1.48213210062986,-0.119934076773466
KIAA1549,rec,0.0213767367972254,307,254219,0.05183962,-0.00006401344,0.129170610352205,0.0561299507173695,0.0191574053286823,0.239183815375728
RACGAP1,rec,0.0214046542652444,23,254503,-0.3648287,0.00003446877,-0.471556369638103,0.204954656205325,-0.873262024559774,-0.069850714716431
SPRR2F,rec,0.0214095105936084,1,254525,-2.063256,0.00000492411,-2.26131866111168,0.982883734738486,-4.18774454323186,-0.334892778991491
LARP4B,rec,0.0215835507825014,72,254454,-0.267013815562481,0.0000492411070484396,-0.266180067949086,0.115849739888991,-0.493242465536145,-0.0391176703620279
MATR3,rec,0.0215737478598394,7,254519,0.5011311,-0.00003446877,0.853635297325493,0.371500465990925,0.125504301145111,1.58176629350587
FBXO47,rec,0.0217324658586791,8,254518,0.818984,-0.00001969644,0.79753777861976,0.347507135727611,0.116433069256308,1.47864248798321
MS4A6E,rec,0.021764733130304,5,254521,1.10177,-0.00001477233,1.00855639568752,0.439560992731323,0.147028583963818,1.87008420741121
CCDC25,rec,0.0218922003289677,19,254507,-0.5941275,0.0000443169940968792,-0.516893954445616,0.225496611308579,-0.958861293004557,-0.0749266158866753
NOB1,rec,0.0217863914121695,71,254455,-0.2096028,0.0000443169940968792,-0.267633559406896,0.116662410767484,-0.496288770221647,-0.038978348592145
UBE2Q1,rec,0.021863882793998,6,254520,1.19932354975534,-0.00001969644,0.919991273717993,0.401263083035509,0.133526342639836,1.70645620479615
EIF4B,rec,0.021985120372745,5,254521,1.2698,-0.00002462055,1.00687562617183,0.439561042742939,0.145347716426702,1.86840353591696
KCNU1,rec,0.0219751790603694,147,254379,-0.2507944,0.000132951,-0.185761565263575,0.0810898808865072,-0.344695567116168,-0.0268275634109817
NSFL1C,rec,0.0219049338430004,18,254508,-0.90296135,0.00002954466,-0.531009423972752,0.231676838759787,-0.985089843355607,-0.076929004589896
CLTCL1,rec,0.0220608295178259,268,254258,0.11528715,-0.00011817865,0.13752117078642,0.0600704108527493,0.019784769087679,0.255257572485162
LIMS1,rec,0.0220459158869069,91,254435,-0.2127851,0.000103406319710193,-0.235947417340211,0.103052261833473,-0.437927099565646,-0.0339677351147753
USP38,rec,0.0221214949630598,26,254500,-0.227461102011504,0.00001969644,-0.441109285619887,0.192768145892772,-0.818929705646434,-0.0632888655933397
RECQL4,rec,0.0221808543273637,1274,253252,-0.0593903035954786,0.00039392885,-0.0631425684026485,0.0276060779205025,-0.117249744185787,-0.00903539261951036
PSG2,rec,0.0223592175896513,201,254325,0.1951279,-0.0001920403,0.15842127930223,0.0693545435106613,0.0224882254328251,0.294354333171635
MIOX,rec,0.0223906112749729,13,254513,-0.377880621211624,0.00005416522,-0.622553373523854,0.272608601220027,-1.15685895466013,-0.0882477923875773
TMC7,rec,0.0223621511202631,155,254371,-0.109875698064518,0.00006401344,-0.180382474426912,0.0789705633619653,-0.335162670506339,-0.0256022783474854
FLVCR2,rec,0.0225079212866076,29,254497,0.4370301,-0.00006401344,0.416468873258326,0.18252574892943,0.0587232778603313,0.774214468656321
HSF5,rec,0.0225224485272326,129,254397,-0.1659377,0.000103406319710193,-0.197481823287677,0.086559653794037,-0.367136434024076,-0.0278272125512786
MAP3K13,rec,0.0225720664327453,111,254415,-0.06105256,0.00005416522,-0.212809541674837,0.0933123518145927,-0.395699260269035,-0.0299198230806392
NUDT11,rec,0.0226537682060425,21,254505,0.5352716,-0.00007386166,0.488899649824661,0.214501395824984,0.0684826400975644,0.909316659551758
CHRM4,rec,0.0226947085474816,2,254524,1.604313,-0.00000984822,1.5835920158332,0.695000178527109,0.22141021886919,2.94577381279722
FAM71F2,rec,0.0227557733253217,6,254520,-0.4711451,0.00000984822,-0.913895424612421,0.401267072797474,-1.70036817551752,-0.127422673707319
SH3TC2,rec,0.0227263668381971,315,254211,-0.08293328,0.0001132545,-0.126232585587724,0.0554133547642555,-0.234841281672589,-0.0176238895028586
THAP2,rec,0.0227723418778023,10,254516,-0.75346355,0.00001969644,-0.707810902283822,0.310818760798038,-1.31700737617722,-0.0986144283904216
ZSCAN16,rec,0.0227557161460796,17,254509,0.5922486,-0.00005416522,0.54294084773263,0.238390725132873,0.0757013902849443,1.01018030518032
ATP2A1,rec,0.0227938669628647,38,254488,-0.50918245,0.0000393928820484396,-0.363061775588859,0.159455411252201,-0.675590124999473,-0.050533426178245
C12ORF74,rec,0.0227781859861947,6,254520,1.059289,-0.00001969644,0.91373406247061,0.40126239805672,0.127270473932593,1.70019765100863
MGAT3,rec,0.0228521017065095,45,254481,0.4222119,-0.00008370988,0.333494306737852,0.146532159761434,0.0462951852644438,0.62069342821126
TAP2,rec,0.0229330787972714,30,254496,-0.51016475,0.0000393928820484396,-0.40819138797124,0.179459379743296,-0.759926981620781,-0.0564557943216993
PPP4R1,rec,0.023048586056363,84,254442,0.33424675,-0.0001378751,0.243761048106994,0.107258880514476,0.0335365055619894,0.453985590651998
FAM117A,rec,0.0231235302922025,7,254519,-0.7032567,0.00002462055,-0.843821137165364,0.371498051864204,-1.57194740172182,-0.115694872608912
PCMTD1,rec,0.0233178374142852,4,254522,0.9301242,-0.00001969644,1.11469408741154,0.491444298450299,0.151476381497474,2.0779117933256
CASC4,rec,0.0234298667854004,29,254497,-0.5535114,0.00006401344,-0.413670659300428,0.182526035636644,-0.771416816636909,-0.055924501963948
EEFSEC,rec,0.0234142302141596,30,254496,-0.11462689,0.00001969644,-0.40676676936412,0.179459551847586,-0.758502700333477,-0.0550308383947631
PXDN,rec,0.0233918371765432,139,254387,0.2006113,-0.0001132545,0.189043895385276,0.0833899228588107,0.0256018726663213,0.35248591810423
MAF,rec,0.0235622936200592,7,254519,-1.670764,0.00001477233,-0.841151141575774,0.371499409214556,-1.56928006650268,-0.113022216648865
ZNF618,rec,0.0235365221302443,26,254500,-0.63815805,0.00002954466,-0.436547364228795,0.192768035414225,-0.814367567720338,-0.0587271607372513
