Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
KHK,flexnonsyn,0.0476596279752955,2036,252487,0.0211214209020193,-0.0001674217,0.0408509411626403,0.0206276169108535,0.000421362666941066,0.0812805196583396
PRR14,flexnonsyn,0.0476478871083317,2912,251611,-0.03818143,0.0004825685,-0.0342195109131447,0.0172781744710332,-0.0680842716394054,-0.000354750186884051
GINS3,flexnonsyn,0.0477497243631193,965,253558,-0.04821644,0.0002018909,-0.0591880906139625,0.0298990361863016,-0.117789403391097,-0.000586777836828145
ADGRE2,flexnonsyn,0.047960596220351,3971,250552,0.008686342,-0.00015264925,0.0293242558071188,0.0148272520341173,0.000263237630392446,0.0583852739838451
RIMBP2,flexnonsyn,0.047935779310165,2746,251777,0.03375174,-0.0004037818,0.0351817348887981,0.0177869970717111,0.000319695448113042,0.0700437743294831
DIO2,flexnonsyn,0.0480119811920657,546,253977,-0.1338684,0.0002954501,-0.0785293797062131,0.0397160247024024,-0.156371727912614,-0.000687031499811946
KXD1,flexnonsyn,0.0480545334997085,445,254078,-0.1378293,0.0001428009,-0.0869523869871794,0.0439843136908519,-0.173160467669931,-0.000744306304427719
ANLN,flexnonsyn,0.0481141049165023,3034,251489,-0.024539595,0.0003545401,-0.0334625753952604,0.0169313419962245,-0.0666475537295107,-0.000277597061010187
PTPRJ,flexnonsyn,0.0481041105319214,4971,249552,0.03496872,-0.00062536945,0.0262446827072044,0.0132786504848475,0.0002188822274783,0.0522704831869305
KNSTRN,flexnonsyn,0.0481691076608809,1125,253398,0.04009347,-0.0001428009,0.0547324588781947,0.027700252864655,0.000440702715463689,0.109024215040926
MGAT2,flexnonsyn,0.0481973490126718,836,253687,-0.09480404,0.0003348435,-0.0634470352851186,0.0321147755884225,-0.126391138141747,-0.000502932428490199
OXTR,flexnonsyn,0.0482310418535029,1691,252832,0.02582521,-0.0002215876,0.044679574659511,0.0226187146157046,0.000347497814207107,0.089011651504815
IFNA14,flexnonsyn,0.048332710885574,1511,253012,-0.0355599894412928,0.0002018909,-0.0472279236712634,0.0239196441577697,-0.0941097876909947,-0.000346059651532164
MAPK4,flexnonsyn,0.0484019528982492,1468,253055,0.011916785,-0.00009848337,0.047896026340073,0.0242655056358995,0.000336283055901339,0.0954557696242446
PLK1,flexnonsyn,0.0484804584466624,1647,252876,-0.01721574,0.000044317515,-0.0452187259437769,0.0229171161141126,-0.0901356617601999,-0.000301790127353908
PNLIP,flexnonsyn,0.0485036811516227,968,253555,0.068430385,-0.0002363601,0.0588979091674265,0.0298528906766952,0.000387040357276817,0.117408777977576
KLK2,flexnonsyn,0.0485818211197596,1265,253258,0.08468849,-0.00042840265,0.0515338010087411,0.0261294077826718,0.000320859273342571,0.10274674274414
GJA4,flexnonsyn,0.0486540746649139,1371,253152,0.05961774,-0.000379161007097494,0.0494960914951409,0.0251042744199601,0.000292383784953762,0.098699799205328
DGKZ,flexnonsyn,0.0487028551418887,3794,250729,0.02836702,-0.0002757534,0.029890570892932,0.0151636936698029,0.000170136091495431,0.0596110056943687
MYEF2,flexnonsyn,0.0487834931039284,1217,253306,0.06443298,-0.0003299193,0.0524882524843672,0.026637177698467,0.00028009526881316,0.104696409699921
BHLHE40,flexnonsyn,0.0488636549212071,858,253665,-0.11144755,0.0003840852,-0.0624459559672925,0.0317018523256216,-0.124580740251724,-0.000311171682860725
CES3,flexnonsyn,0.0488488863899909,2153,252370,0.05504059,-0.00044809935,0.0395242945274033,0.0200639319053092,0.000199523595127038,0.0788490654596797
TSPAN11,flexnonsyn,0.0488787698005468,848,253675,0.072117825,-0.0001575734,0.0628075752012862,0.0318875688617526,0.000308791463698471,0.125306358938874
OTOP1,flexnonsyn,0.0489079974893251,2379,252144,-0.003791619,0.00005416585,-0.0376071220906632,0.0190957035814539,-0.0750341913548195,-0.000180052826506912
AKAP1,flexnonsyn,0.0489521749591005,2789,251734,0.03218992,-0.00039885765,0.0347544978857328,0.0176506808439872,0.000159634612455807,0.0693493611590098
CASP8,flexnonsyn,0.0489814163422858,1607,252916,0.03014047,-0.0002806776,0.045672346137188,0.0231985008793103,0.00020390369248028,0.0911407885818957
KRTAP5-2,flexnonsyn,0.0489750834976663,497,254026,0.1117448,-0.000182194251910838,0.081949305390341,0.0416236073903134,0.000368146038123282,0.163530464742559
ZNF621,flexnonsyn,0.0489518068886938,1103,253420,-0.02449526,0.00016249755,-0.055081251489906,0.0279739333613925,-0.109909414120404,-0.000253088859408425
GPR101,flexnonsyn,0.0490132422044544,996,253527,-0.10257275,0.0003151468,0.0579488458507426,0.0294382836654951,0.000250595714704538,0.115647095986781
