Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
C1ORF116,flexnonsyn,0.0551,146157,4,0.0300751879699248,1558,0.0106694789897551,2.8752,1.0616,7.787
TSSK2,flexnonsyn,0.055,146157,4,0.0300751879699248,1557,0.0106626308004164,2.8771,1.0623,7.792
NHS,flexnonsyn,0.0947,146157,4,0.0300751879699248,1885,0.0129088369035227,2.371,0.8757,6.4202
FGA,flexnonsyn,0.0947,146157,4,0.0300751879699248,1885,0.0129088369035227,2.371,0.8757,6.4202
NPAS1,flexnonsyn,0.0946,146157,3,0.0225563909774436,1183,0.00810140798772804,2.8254,0.8982,8.8878
RASSF5,flexnonsyn,0.0944,146157,2,0.0150375939849624,564,0.0038623787870487,3.9375,0.972,15.9501
SIGLEC9,flexnonsyn,0.0943,146157,3,0.0225563909774436,1181,0.00808771160905057,2.8303,0.8997,8.903
VCX2,flexnonsyn,0.0942,146157,2,0.0150375939849624,563,0.00385553059770997,3.9445,0.9738,15.9786
NDUFV1,flexnonsyn,0.0939,146157,3,0.0225563909774436,1179,0.00807401523037309,2.8351,0.9013,8.9182
KPNA5,flexnonsyn,0.0939,146157,2,0.0150375939849624,562,0.00384868240837123,3.9516,0.9755,16.0073
CEMP1,flexnonsyn,0.0939,146157,2,0.0150375939849624,562,0.00384868240837123,3.9516,0.9755,16.0073
SLC25A13,flexnonsyn,0.0939,146157,3,0.0225563909774436,1179,0.00807401523037309,2.8351,0.9013,8.9182
HIST1H3F,flexnonsyn,0.0937,146157,1,0.0075187969924812,107,0.000732756259245056,10.3311,1.4314,74.5659
TNFRSF17,flexnonsyn,0.0936,146157,2,0.0150375939849624,561,0.00384183421903249,3.9587,0.9772,16.036
ZNF326,flexnonsyn,0.0933,146157,2,0.0150375939849624,560,0.00383498602969375,3.9658,0.979,16.0648
LRCH2,flexnonsyn,0.0933,146157,2,0.0150375939849624,560,0.00383498602969375,3.9658,0.979,16.0648
OR6N2,flexnonsyn,0.093,146157,2,0.0150375939849624,559,0.00382813784035501,3.9729,0.9807,16.0937
CNTD2,flexnonsyn,0.093,146157,2,0.0150375939849624,559,0.00382813784035501,3.9729,0.9807,16.0937
P2RX1,flexnonsyn,0.093,146157,2,0.0150375939849624,559,0.00382813784035501,3.9729,0.9807,16.0937
TMEM74B,flexnonsyn,0.093,146157,2,0.0150375939849624,559,0.00382813784035501,3.9729,0.9807,16.0937
GHITM,flexnonsyn,0.0928,146157,2,0.0150375939849624,558,0.00382128965101627,3.98,0.9825,16.1227
IL33,flexnonsyn,0.0928,146157,2,0.0150375939849624,558,0.00382128965101627,3.98,0.9825,16.1227
RFX4,flexnonsyn,0.0926,146157,3,0.0225563909774436,1172,0.00802607790500192,2.8522,0.9067,8.972
KANSL1L,flexnonsyn,0.0926,146157,3,0.0225563909774436,1172,0.00802607790500192,2.8522,0.9067,8.972
COL4A1,flexnonsyn,0.0924,146157,5,0.037593984962406,2619,0.017935407878157,2.1389,0.8746,5.2311
ZNF142,flexnonsyn,0.0923,146157,7,0.0526315789473684,3861,0.0264408590368707,2.0456,0.9549,4.3818
